2016-06-21 05:23:32.839 PM	****** Start Logging ******
2016-07-06 10:39:08.600 AM	doWork	--------End------------
2016-07-07 09:32:38.182 AM	doWork	--------Start----------
2016-07-07 09:32:38.204 AM	doWork	Generate HK Report.
2018-09-07 11:18:31.786 AM	doWork	--------Start----------
2018-09-07 11:18:48.643 AM	doWork	Generate HK Report.
2018-09-12 11:43:48.541 AM	doWork	--------Start----------
2018-09-12 11:53:22.539 AM	doWork	--------Start----------
2018-09-12 02:31:40.127 PM	doWork	--------Start----------
2018-09-12 02:35:14.079 PM	doWork	Unable to set the CurrentPage property of the PivotField class
2018-09-12 02:36:04.052 PM	doWork	--------Start----------
2018-09-12 02:39:06.452 PM	doWork	Exception from HRESULT: 0x800A03EC
2018-09-12 02:39:47.095 PM	doWork	--------Start----------
2018-09-12 02:39:53.685 PM	doWork	Generate HK Report.
2018-09-12 02:47:01.937 PM	doWork	Unable to get the PivotFields property of the PivotTable class
2018-09-12 02:49:11.206 PM	doWork	Unable to get the PivotFields property of the PivotTable class
2018-09-12 02:50:27.760 PM	doWork	--------Start----------
2018-09-12 04:20:43.697 PM	doWork	--------Start----------
2018-09-12 04:20:48.651 PM	doWork	Generate HK Report.
2018-09-12 04:29:37.696 PM	doWork	--------Start----------
2018-09-12 04:29:49.716 PM	doWork	Generate HK Report.
2018-09-12 04:33:23.185 PM	doWork	Cannot access 'SalesReportHK.xlsx'.
2018-09-13 09:58:17.066 AM	doWork	--------Start----------
2018-09-13 09:58:34.079 AM	doWork	Invalid index. (Exception from HRESULT: 0x8002000B (DISP_E_BADINDEX))
2018-09-13 10:02:33.344 AM	doWork	--------Start----------
2018-09-13 10:02:37.969 AM	doWork	Generate HK Report.
